cell_source_label,aggregated_summaries,cell_label,cell_id
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
Interlobar adipose tissue of right mammary gland,"['https://doi.org/10.1126/science.abl4290#GTEX-1R9PN-5002-SM-HD2MC', 'https://doi.org/10.1126/science.abl4290#GTEX-1CAMS-5015-SM-HPJ3C', 'https://doi.org/10.1126/science.abl4290#GTEX-1MCC2-5013-SM-HPJ3D']",mast cell,CL:0000097
